Platform,Page,Section,Data Point,Description
CollegeDunia,Homepage,Hero,Search Bar,"Auto-suggest for colleges, exams, courses, and news"
CollegeDunia,Homepage,Hero,Stream Tabs,"B.Tech, MBA, MBBS, Law, etc. for quick filtering"
CollegeDunia,Homepage,Hero,Voice Search,Microphone icon for voice-based queries
CollegeDunia,Homepage,Top Colleges,College Name,Full institutional name with detail link
CollegeDunia,Homepage,Top Colleges,Location,"City and State of the college"
CollegeDunia,Homepage,Top Colleges,Fees,First-year tuition fee in INR
CollegeDunia,Homepage,Top Colleges,Rating,User rating score out of 10
CollegeDunia,Homepage,Top Colleges,Ranking Badge,NIRF rank position displayed as a badge
CollegeDunia,Homepage,Top Collections,Collection Title,"SEO-friendly list title (e.g., Best ROI Engineering Colleges)"
CollegeDunia,Homepage,Top Collections,College Count,Number of institutions included in the collection
CollegeDunia,Homepage,Exam Highlights,Exam Name,Title of the entrance exam
CollegeDunia,Homepage,Exam Highlights,Application Date,Closing date for registration
CollegeDunia,Homepage,Exam Highlights,Exam Date,Scheduled date of the examination
CollegeDunia,College Listing,Filter Sidebar,Search Box,Internal search to filter current listing by name
CollegeDunia,College Listing,Filter Sidebar,State Filter,Multi-select list of 36 Indian states/UTs
CollegeDunia,College Listing,Filter Sidebar,City Filter,City selection nested within state
CollegeDunia,College Listing,Filter Sidebar,Course Filter,Stream/degree type selection (B.Tech, M.Tech, etc.)
CollegeDunia,College Listing,Filter Sidebar,Fees Range,Price range slider for annual fees
CollegeDunia,College Listing,Filter Sidebar,Exam Accepted,Selection of entrance exams (JEE Main, GATE, etc.)
CollegeDunia,College Listing,Filter Sidebar,Ownership,"Government, Private, Deemed toggle"
CollegeDunia,College Listing,Filter Sidebar,Rating Filter,Minimum star rating selection
CollegeDunia,College Listing,Filter Sidebar,NAAC Grade,Accreditation grade filter (A++, A+, etc.)
CollegeDunia,College Listing,Sort Controls,Sort By Rating,Descending order of user ratings
CollegeDunia,College Listing,Sort Controls,Sort By Popularity,Ordering based on view/search volume
CollegeDunia,College Listing,Sort Controls,Sort By Fees (Low to High),Ascending order of fees
CollegeDunia,College Listing,Sort Controls,Sort By Fees (High to Low),Descending order of fees
CollegeDunia,College Listing,Sort Controls,Sort By Placements,Ordering by highest packages
CollegeDunia,College Listing,College Card,College Name,Full institution name
CollegeDunia,College Listing,College Card,Logo,Thumbnail of the college logo
CollegeDunia,College Listing,College Card,Location,"City, State"
CollegeDunia,College Listing,College Card,Ownership Badge,"Private / Government / Deemed label"
CollegeDunia,College Listing,College Card,NIRF Rank,National ranking position if available
CollegeDunia,College Listing,College Card,Rating,Numeric rating score
CollegeDunia,College Listing,College Card,First Year Fees,Annual fee for the primary course
CollegeDunia,College Listing,College Card,Course List,Top 2-3 degrees offered
CollegeDunia,College Listing,College Card,Apply Now CTA,Primary call-to-action button
CollegeDunia,College Listing,College Card,Download Brochure CTA,Lead-gated PDF download link
CollegeDunia,College Listing,College Card,Add to Compare,Checkbox to add to comparison tray
CollegeDunia,College Listing,Pagination,Total Count,Total number of colleges matching filters
CollegeDunia,College Listing,Pagination,Current Page,Indicator of the active results page
CollegeDunia,College Detail,Overview,Banner Image,High-resolution campus banner
CollegeDunia,College Detail,Overview,Logo,College emblem image
CollegeDunia,College Detail,Overview,Key Stats,"Established year, campus size, student count"
