Platform,Page Type,Sub-page,URL Pattern,Notes
CollegeDunia,Homepage,Hero Search & Navigation,/,"Global search with auto-suggest, stream tabs"
CollegeDunia,Homepage,Top Colleges Section,/,Tabbed by stream (B.Tech / MBA / MBBS / Law)
CollegeDunia,Homepage,Top Collections,/,"Curated SEO lists (e.g., Best ROI Colleges)"
CollegeDunia,Homepage,Exam Highlights,/,"Quick links to upcoming exams with key dates"
CollegeDunia,Homepage,News & Updates,/,Latest admission and exam news snippets
CollegeDunia,Homepage,Footer Navigation,/,"Links to all streams, states, popular colleges"
CollegeDunia,College Listing,Filter Sidebar,/btech-colleges,"Filters: State, City, Course, Fees, Exam, Type, Rating"
CollegeDunia,College Listing,Sort Controls,/btech-colleges,"Sort by Rating, Popularity, Fees, Placements"
CollegeDunia,College Listing,College Cards Grid,/btech-colleges,"Cards with name, location, fees, rating, CTAs"
CollegeDunia,College Listing,Pagination,/btech-colleges,"Numbered pages, prev/next, total count"
CollegeDunia,College Listing,Active Filter Chips,/btech-colleges,Visual tags for applied filters with remove option
CollegeDunia,College Detail,Overview,/college/[slug],"Cover image, logo, key stats, accreditations"
CollegeDunia,College Detail,Courses & Fees,/college/[slug]/courses-fees,"Table: course name, duration, fees, eligibility, seats"
CollegeDunia,College Detail,Admissions,/college/[slug]/admission,"Process, dates, criteria, documents, counselling"
CollegeDunia,College Detail,Placements,/college/[slug]/placement,"Packages, recruiters, trends, sector-wise split"
CollegeDunia,College Detail,Cutoffs,/college/[slug]/cutoff,"Category-wise, round-wise, year-wise closing ranks"
CollegeDunia,College Detail,Reviews,/college/[slug]/reviews,"Rating breakdown, verified reviews, sort/filter"
CollegeDunia,College Detail,Rankings,/college/[slug]/ranking,"NIRF, The Week, India Today, Outlook rankings"
CollegeDunia,College Detail,Gallery,/college/[slug]/gallery,"Campus photos, videos, categorized by area"
CollegeDunia,College Detail,Scholarships,/college/[slug]/scholarship,"Scholarship name, eligibility, amount, deadline"
CollegeDunia,College Detail,Faculty,/college/[slug]/faculty,"Professor name, designation, department, qualification"
CollegeDunia,College Detail,Hostel,/college/[slug]/hostel,"Type, room type, fees, amenities, capacity"
CollegeDunia,College Detail,Q&A Forum,/college/[slug]/questions,"User questions with expert/alumni answers"
CollegeDunia,Course Page,Overview,/courses/[name],"Full form, duration, avg fees, scope, eligibility"
CollegeDunia,Course Page,Syllabus,/courses/[name]/syllabus,"Semester-wise subjects, electives"
CollegeDunia,Course Page,Top Colleges,/courses/[name]/colleges,"Best colleges offering this course"
CollegeDunia,Course Page,Career & Jobs,/courses/[name]/career,"Job profiles, salary, top employers"
CollegeDunia,Exams Page,Exam Info,/exams/[name],"Conducting body, level, mode, frequency"
CollegeDunia,Exams Page,Important Dates,/exams/[name]/dates,"Application, admit card, exam, result, counselling dates"
CollegeDunia,Exams Page,Syllabus & Pattern,/exams/[name]/syllabus,"Sections, marks, duration, marking scheme, weightage"
CollegeDunia,Exams Page,College Predictor,/exams/[name]/college-predictor,"Input rank/score → Output college list with probability"
CollegeDunia,Exams Page,Cutoff,/exams/[name]/cutoff,"Previous year cutoff ranks by category"
CollegeDunia,Exams Page,Preparation Tips,/exams/[name]/preparation,"Study plan, recommended books, strategy"
CollegeDunia,Compare Page,Side-by-side View,/compare-colleges,"Compare up to 4 colleges on fees, placements, cutoffs, rankings"
CollegeDunia,Rankings Page,National Rankings,/rankings,"NIRF, QS rankings with year-wise data"
CollegeDunia,Rankings Page,Stream-wise Rankings,/rankings/engineering,"Top colleges by specific stream"
CollegeDunia,Articles Page,News & Blog,/articles,"Editorial content, admission guides, career tips"
CollegeDunia,Articles Page,Article Detail,/articles/[slug],"Full article with related college links"
CollegeDunia,User Dashboard,Profile & Settings,/dashboard,"User preferences, stream selection, notification settings"
CollegeDunia,User Dashboard,Saved Colleges,/dashboard/saved,"Shortlisted colleges list"
CollegeDunia,User Dashboard,Saved Comparisons,/dashboard/comparisons,"Previously saved comparison sets"
CollegeDunia,User Dashboard,Application Tracker,/dashboard/applications,"Track Common Application Form statuses"
CollegeDunia,Auth,Login/Register,/login,"Email/phone login, OTP, social login"
Careers360,Homepage,Hero Search & Predictors,/,"Search bar, companion tool promos, predictor CTAs"
Careers360,Homepage,Top Colleges by State,/,"Map or list-based state-wise college discovery"
Careers360,Homepage,Trending Exams,/,"Upcoming exams with approaching deadlines"
Careers360,Homepage,News Feed,/,"Latest admission and exam headlines"
Careers360,Homepage,Stream Navigation,/,"Browse by Engineering, Medical, Management, etc."
Careers360,College Listing,Filter Sidebar,/colleges/india,"Ownership, Level, Stream, Facilities, State, Exam"
Careers360,College Listing,College Cards,/colleges/india,"Name, location, NIRF rank, ownership, campus size"
Careers360,College Listing,Sort & Pagination,/colleges/india,"Sort by rank, rating, fees; numbered pages"
Careers360,College Detail,About/Overview,/colleges/[name],"Description, campus size, faculty, student count, ratio"
Careers360,College Detail,Courses,/colleges/[name]/courses,"Degree, duration, fees, seats, eligibility, mode"
Careers360,College Detail,Reviews,/colleges/[name]/reviews,"Verified reviews with multi-parameter ratings"
Careers360,College Detail,Facilities,/colleges/[name]/facilities,"Icons and descriptions for hostel, gym, library, etc."
Careers360,College Detail,Admissions,/colleges/[name]/admission,"Criteria, seat matrix, important dates"
Careers360,College Detail,Placements,/colleges/[name]/placement,"Packages, median salary, recruiters, graphs"
Careers360,College Detail,Cutoff,/colleges/[name]/cutoff,"Interactive charts, category-wise, year-wise data"
Careers360,College Detail,QnA,/colleges/[name]/qna,"Community questions with expert answers"
Careers360,College Detail,Rankings,/colleges/[name]/ranking,"NIRF and Careers360 internal ratings"
Careers360,Exams Page,Overview & Dates,/exams/[name],"Comprehensive exam details and timeline"
Careers360,Exams Page,Syllabus & Pattern,/exams/[name]/syllabus,"Subject-wise topics, marking scheme"
Careers360,Exams Page,Preparation Tips,/exams/[name]/preparation,"Articles, mock tests, e-books"
Careers360,Exams Page,Predictors,/exams/[name]/predictor,"Rank predictor and college predictor tools"
Careers360,Rankings Page,National Rankings,/ranking,"NIRF rankings with detailed score breakdowns"
Careers360,Rankings Page,Stream Rankings,/ranking/engineering,"Stream-specific ranking tables"
Careers360,Compare Page,Side-by-Side,/compare,"Compare 2-3 colleges on key metrics"
Careers360,Articles Page,News & Blogs,/news,"Latest admission, exam, counselling news"
Careers360,Articles Page,Expert Opinions,/articles,"Editorial columns from education experts"
Careers360,Premium Tools,Companions,/companion,"Paid subscription pages for JEE, NEET, CAT"
Careers360,Auth,Login/Register,/login,"Email, phone, social login options"
CollegeDekho,Homepage,Hero & Counselling CTA,/,"Search, toll-free number, callback form, WhatsApp"
CollegeDekho,Homepage,Trending Courses,/,"Popular degree cards with college count"
CollegeDekho,Homepage,Top Colleges,/,"Featured institutions by stream"
CollegeDekho,Homepage,Student Testimonials,/,"Video testimonials from students"
CollegeDekho,College Listing,Filters & Cards,/btech-colleges-in-india,"State, course, fees, exam filters; Apply Now and Brochure CTAs"
CollegeDekho,College Listing,Sort & Pagination,/btech-colleges-in-india,"Sort options and numbered pagination"
CollegeDekho,College Detail,Overview,/colleges/[name],"Highlights table, accreditations, video tour embed"
CollegeDekho,College Detail,Courses & Fees,/colleges/[name]/courses,"Fee by specialization, duration, eligibility"
CollegeDekho,College Detail,Admissions,/colleges/[name]/admission,"Process steps, application fee, documents, dates"
CollegeDekho,College Detail,Placements,/colleges/[name]/placements,"Stats, historical records, top recruiters"
CollegeDekho,College Detail,Cutoffs,/colleges/[name]/cutoffs,"Previous years cutoff trends by category"
